word;clarification;classification;endіngs;and;look;from;vars;but
аа́за;;<i>эм.</i>;-зы, <i>М</i> -зе;аа́зіс;ку́па;;;
аа́зіс;;;-су, <i>М</i> -се;аа́за;ку́па;;;
Аальба́рґ;;;;;О́льбарґ;;;
аамы́нскі;;;;;;;;
Аамы́нь;<i>м.</i> у Кітаі;;;;;Aomen;;
АА́Н;Арґаніза́цыя Аб’ядна́ных На́цыяў;<i>нязьм.</i>;;;;;;
аа́наўскі;;;;;;;;
Аа́хен;;;;;А́хен;;;
аб;;<i>прыназ.</i>;;;;;;
аба́бак;;;-бка, <i>М</i> -бку;;;;;
абабе́гчы;;;;;;;;
абабі́ты;;;;;;;;
абабі́ць;;;;;;;;
абабра́ць;;;"абяру́, абяро́м, абераце́; <i>заг.</i> абярэ́м";;;;<i>незак.</i> абіра́ць;
абавя́зак;;;-зку;;;;;
абавя́за́ны;;;;;;;;
абавяза́цца;;;;;;;;
абавяза́ць;;;-вяжу́, -вя́жаш, -вя́жа;;;;;
абавя́звацца;;;;;;;;
абавя́зваць;;;;;;;;
абавя́зкава;;<i>эм.</i>;;абавязко́ва;;;;
абавя́зкавасьць;;<i>эм.</i>;<i>Р мн.</i> -сьцяў;абавязко́васьць;;;;
абавя́зкавы;;<i>эм.</i>;;абавязко́вы;;;;
абавязко́ва;;<i>прысл.</i>;;абавя́зкава;;;;
абавязко́васьць;;;<i>Р мн.</i> -сьцяў;абавя́зкавасьць;;;;
абавязко́вы;;;;абавя́зкавы;;;;
абагаві́ць;;;"-аўлю́, -аві́ш; <i>2 мн.</i> -авіце́";;;;;
абагаўле́ньне;;;;;;;;
абагаўлё́ны;;;;абаго́млены;;;;
абагаўля́льнік;;;-ка;;;;;
абагаўля́ць;;;;;;;;
абагаці́ць;;;"-ачу́, -аці́ш; <i>2 мн.</i> -аціце́";;;;;
абагачэ́ньне;;;;;;;;
абагна́ць;;;"абганю́, абго́ніш; <i>3 мн.</i> абго́няць";;;;;
абаго́міць;;;;;;;;
абаграва́ньне;;;;;;;;
абаграва́ць;;;;;;;<i>зак.</i> абагрэ́ць;
абагрэ́ў;;;-рэ́ву, <i>М</i> -рэ́ве;;;;;
абагрэ́ць;;;;;;;;
абагу́ленасьць;;;<i>Р мн.</i> -сьцяў;;;;;
абагу́лены;;;;;;;;
абагу́леньне;;;;;;;;
абагу́ліць;;;;;;;;
абагу́льваньне;;;;;;;;
абагу́льваць;;;;;;;;
абагу́льненасьць;;;<i>Р мн.</i> -сьцяў;;;;;
абагу́льнены;;;;;;;;
абагульне́ньне;;;;;;;;
абагу́льніць;;;;;;;;
абагульня́льны;;;;;;;;
абадзьму́ць;;;;;;;;
абадра́нец;;;-нца, <i>М</i> -нцу;;;;;
абадра́ны;;;;абдзё́рты;;;;
абадра́ўся;;;;абдзе́рціся;;;;
абадра́цца;;;"абдзяру́ся, -рэ́сься, -рэ́цца; -ро́мся, абдзераце́ся, абдзяру́цца; <i>заг.</i> абдзярэ́мся";;;;;
Аба́еў;;;-ва, <i>М</i> -ву;;;;;
абажу́р;;;-ра;;за́сьня;;;
абазва́ны;;;;;;;;
абазва́цца;;;"абзаву́ся, -ве́сься; -вё́мся, -вяце́ся; <i>заг.</i> -ве́мся";;;;;
абазна́насьць;дасьведчанасьць;;<i>Р мн.</i> -сьцяў;;;;;
абазна́ны;дасьведчаны;;;;;;;
абазна́чаны;;;;;;;;
